ticker,name,sector,fy,ocf,capex_ppe,capex_intangible,capex,fcf,depr,marcap,pfr
331740,아우토크립트,기타,2025,-11804353144.0,1318955169.0,2502325294.0,3821280463.0,-15625633607.0,,127915945920.0,
047770,코데즈컴바인,기타,2025,4563075091.0,126805909.0,7000000.0,133805909.0,4429269182.0,,127907994760.0,28.88
350520,이지스레지던스리츠,기타,2025,1800568723.0,,,0.0,1800568723.0,,127741389930.0,70.95
004250,NPC,기타,2025,23741404645.0,67355028816.0,283496114.0,67638524930.0,-43897120285.0,,127234800000.0,
005800,신영와코루,기타,2025,8949563933.0,,3322068700.0,3322068700.0,5627495233.0,,127080000000.0,22.58
0007J0,인벤테라,기타,2025,-6343066855.0,133220000.0,130000000.0,263220000.0,-6606286855.0,,127031281100.0,
382840,원준,기타,2025,32555152538.0,20709000.0,847539331.0,868248331.0,31686904207.0,,126754122300.0,4.0
005860,한일사료,기타,2025,15738418978.0,,,0.0,15738418978.0,,126682847275.0,8.05
036010,아비코전자,기타,2025,11859840908.0,2730750172.0,0.0,2730750172.0,9129090736.0,,126681661020.0,13.88
039980,폴라리스AI,기타,2025,-4489874483.0,212863856.0,88180000.0,301043856.0,-4790918339.0,877040655.0,126554683200.0,
072950,빛샘전자,기타,2025,2807982861.0,1026807484.0,62230500.0,1089037984.0,1718944877.0,,126506503100.0,73.6
002390,한독,기타,2025,3982491151.0,13861625171.0,1976392098.0,15838017269.0,-11855526118.0,,126349232940.0,
067900,와이엔텍,기타,2025,35334524723.0,48658206302.0,,48658206302.0,-13323681579.0,,126123636870.0,
123690,한국화장품,기타,2025,2911124120.0,730870011.0,62081772.0,792951783.0,2118172337.0,,125973120000.0,59.47
036690,코맥스,기타,2025,-4143227279.0,156270384.0,221796658.0,378067042.0,-4521294321.0,,125692107675.0,
014580,태경비케이,기타,2025,64464345681.0,22426692836.0,299000000.0,22725692836.0,41738652845.0,,124951443000.0,2.99
002460,HS화성,기타,2025,52707607941.0,291553272.0,,291553272.0,52416054669.0,,124743500000.0,2.38
339950,아이비김영,기타,2025,32836012272.0,3655248282.0,372302220.0,4027550502.0,28808461770.0,,124726967625.0,4.33
330730,스톤브릿지벤처스,기타,2025,2554344712.0,,141779990.0,141779990.0,2412564722.0,,124427778900.0,51.57
045970,코아시아,기타,2025,12961694124.0,18917213502.0,507466500.0,19424680002.0,-6462985878.0,,124337789100.0,
047820,초록뱀미디어,기타,2025,35983301673.0,2376017416.0,10560480170.0,12936497586.0,23046804087.0,,123981425100.0,5.38
142280,녹십자엠에스,기타,2025,7195765997.0,4720252226.0,179289376.0,4899541602.0,2296224395.0,,123928978200.0,53.97
029480,광무,기타,2025,-15639955276.0,156401545.0,61000000.0,217401545.0,-15857356821.0,,123917198900.0,
317770,엑스페릭스,기타,2025,-2503475411.0,959203200.0,898039426.0,1857242626.0,-4360718037.0,,123506954825.0,
052260,현대바이오랜드,기타,2025,19481530240.0,4001979302.0,72166185.0,4074145487.0,15407384753.0,,123450000000.0,8.01
076610,해성옵틱스,기타,2025,-721855103.0,,,0.0,-721855103.0,7442154311.0,123367020800.0,
014530,극동유화,기타,2025,21739788305.0,24293150401.0,63900000.0,24357050401.0,-2617262096.0,,123263399700.0,
036420,콘텐트리중앙,기타,2025,-261438473.0,52638639045.0,7637770522.0,60276409567.0,-60537848040.0,,123182459660.0,
109740,디에스케이,기타,2025,-10711183688.0,447648423.0,295578958.0,743227381.0,-11454411069.0,,122638560300.0,
357230,에이치피오,기타,2025,4949163980.0,5308861745.0,228660323.0,5537522068.0,-588358088.0,,122435156340.0,
001290,상상인증권,기타,2025,379074757409.0,232990600.0,3003796097.0,3236786697.0,375837970712.0,,122204271360.0,0.33
025950,동신건설,기타,2025,-4008108462.0,,,0.0,-4008108462.0,425003901.0,122052000000.0,
059270,해성에어로보틱스,기타,2025,1645184509.0,-86860655.0,,-86860655.0,1732045164.0,,122036718070.0,70.46
109610,에스와이,기타,2025,-15280643272.0,10050592446.0,1750000.0,10052342446.0,-25332985718.0,,122023963000.0,
011700,한신기계,기타,2025,-1486021356.0,,,0.0,-1486021356.0,,121997527760.0,
033340,좋은사람들,기타,2025,-8196685449.0,1547347911.0,94862517.0,1642210428.0,-9838895877.0,,121866851406.0,
182360,큐브엔터,기타,2025,42699881790.0,530617107.0,0.0,530617107.0,42169264683.0,,121755317670.0,2.89
950130,엑세스바이오,기타,2025,-20338025.0,,,0.0,-20338025.0,,121525596470.0,
002220,한일철강,기타,2025,591991232.0,3624109943.0,817600000.0,4441709943.0,-3849718711.0,,121072981100.0,
009780,엠에스씨,기타,2025,28207072933.0,,0.0,0.0,28207072933.0,,120560000000.0,4.27
096250,와이즈넛,기타,2025,-519180737.0,-1782155500.0,-118842587.0,-1900998087.0,1381817350.0,,120438111360.0,87.16
309960,LB인베스트먼트,기타,2025,5644050251.0,20821020.0,173740000.0,194561020.0,5449489231.0,,120265298020.0,22.07
413630,씨피시스템,기타,2025,3986573445.0,758784580.0,3688100.0,762472680.0,3224100765.0,,120240865800.0,37.29
002450,삼익악기,기타,2025,28047301855.0,18209272964.0,311874680.0,18521147644.0,9526154211.0,,120225055120.0,12.62
